saururus cernuus	113172752
saury	102554299
sausage	102854209 107691372
sausage balloon	102854209
sausage curl	105265450
sausage dog	102092120
sausage hound	102092120
sausage meat	107691707
sausage pizza	107890039
sausage roll	107642989
sausage-shaped	302052062
saussure	110951385
saussurea	112030490
saussurea costus	112030657
saussurea lappa	112030657
saute	107670872 200327420 300621112
sauteed	300621112
sauteing	100247807
sauterne	107914418
sauternes	107914418
sauvignon blanc	107911937 113167705
sauvignon grape	113167360
savage	109864997 110572830 200825488 201123318 300413865 301266123 302398088 302521586
savagely	400202624 400202896
savageness	105045406
savagery	100425937 104837920 105045406
savanna	108663422
savannah	108663422 109100332 109447743
savannah river	109447743
savant	110226506
savara	106993497 109694768
savarin	107649569
save	101081320 200550632 201000931 202230274 202270824 202271765 202288561 202362227 202470006 202556565 202557299 202557529
save up	202270824
save-all	104146617 104146725 104146831
saved	300741247 301454277
saveloy	107693938
saver	110542352 110573055
savin	111658442
saving	100094303 100193462 100820685 301134233 302430693
saving grace	104740092 114481629
savings	113380745
savings account	113385385
savings account trust	113384538
savings and loan	108439671
savings and loan association	108439671
savings bank	104146942 108440014
savings bank trust	113384538
savings bond	113361766
savinien cyrano de bergerac	110939350
savior	110573233 111103646
saviour	110573233 111103646
savitar	109551609
savoir-faire	104849463
savonarola	111302792
savor	105723811 201824240 202198420 202198584 202198732
savoriness	105003105
savoring	100843562
savorless	302408319
savorlessness	105004197
savory	107610411 107836790 112878216 112887728 300134740 301632017 302407127
savour	105723811 201824240 202198420 202198584 202198732
savouring	100843562
savourless	302408319
savourlessness	105004197
savoury	107610411 107836790 300134740 301632017 302407127
savoy	107730640 108965050
savoy cabbage	107730640 111896673
savoyard	109728551 110573452
savvy	105813483 200589616
saw	104002503 104147147 107168546 201562372
saw log	115044770
saw logs	200017024
saw palmetto	112618227
saw set	104147918
saw wood	200017024
saw-like	302250441
saw-toothed	302255529
sawan	115245181
sawbill	101857056
sawbones	110698621
sawbuck	104147696
sawdust	115044674
sawdust doll	104147405
sawdust mushroom	113040403
sawdust saloon	104147499
sawed-off	301439665 302396358
sawed-off shotgun	104147604
sawfish	101499759
sawfly	102221365
sawhorse	104147696
sawing machine	104002503
sawm	105923185
sawmill	103702341 104147842
sawn-off	301439665 302396358
sawpit	109447897
sawtooth	104148041
sawtoothed-edged	300259765
sawwort	112035392
sawyer	102171675 110573569
sawyer beetle	102171675
sax	104148141 111303148
saxatile	303126027
saxe	108787012 111303290
saxe-coburg-gotha	108174708
saxe-gothea	111679519
saxe-gothea conspicua	111679699
saxegothea	111679519
saxhorn	104148263
saxicola	101563152
saxicola rubetra	101563576
saxicola torquata	101563434
saxicoline	303126027
saxicolous	303126027
saxicolous plant	113144778
saxifraga	112813398
saxifraga aizoides	112814044
saxifraga granulata	112814254
saxifraga hypnoides	112814455
saxifraga occidentalis	112814646
saxifraga oppositifolia	112814895
saxifraga sarmentosam	112815328
saxifraga stellaris	112815127
saxifraga stolonifera	112815328
saxifragaceae	112812801
saxifrage	112813775
saxifrage family	112812801
saxist	110573671
saxitoxin	115044864
saxo grammaticus	111303507
saxon	109722232 303126176
saxony	108787012
saxophone	104148141
saxophonist	110573671
say	114509110 200748704 200919271 200925168 200930921 200947531 200980581 200981902 201011267 201011848 201018011 202736688
say farewell	200902724
say hey kid	111187259
say-so	105203850 106740365 107218273
sayan mountains	109448037
sayanci	106996076
sayda	108977985
sayeret	108362697
sayeret mat'kal	108362697
sayeret matkal	108362697
sayers	111303672
saying	107166088
sayonara	106642117
sayornis	101552410
sayornis phoebe	101552527
sazerac	107933373
sb	106712342 114652846
sba	108369921
sbe	113855455
sbw	113855703
sc	108313253 109160577 114678010
scab	105271746 110573883 200098717 202418069
scabbard	104148392
scabby	302250542
scabicide	115062883
scabies	114203809
scabiosa	112704168
scabiosa arvensis	112704552
scabiosa atropurpurea	112704332
scabious	112704168
scablands	109448222
scabrous	300427565 302248991
scad	102582967
scads	113799721
scaffold	104148488 104148638 201220181
scaffolding	104148777
scag	102840630
scalability	105217384
scalable	302090368
scalage	101007756 101007899
scalar	105872935 303146439 303146647
scalar field	108022319
scalar matrix	108286035
scalar product	105873468
scalawag	110219666 110556285 110574094
scald	100404879 114313609 200197133 200372370 200372476 200865570
scalded milk	107861751
scale	101905518 103965995 104148903 104149040 106869618 109448485 113176554 113837554 113839074 113872501 200320207 200491364 201266712 201747963 201926459 202003114 202211818 202734263
scale down	200241017 200429200
