puffiness	104825154 114338619
puffing	100836121 100836527
puffinus	102062943
puffinus puffinus	102063222
puffy	300306499 301178109 301387015
pug	102113610
pug nose	105607153
pug-dog	102113610
pug-faced	300237580
pug-nose	301612154
pug-nosed	301612154
puget sound	109423542
pugilism	100446787
pugilist	109889614
pugilistic	303116042
pugin	111268222
puglia	108828210
pugnacious	300084822 302457696
pugnaciously	400437154
pugnacity	104651019
puissance	105198963
puissant	301832879
pujunan	106937672
puka	111819800 112969920
puka inti	108056760
puke	110559272 114880143 200076153
puking	100119553
pukka	302352567
puku	102430735
pul	113685445
pula	113718050
pulasan	107785862 112766324
pulasan tree	112766324
pulassan	107785862 112766324
pulchritude	104692411
pulchritudinous	300221933
pule	200065796
pulex	102189238
pulex irritans	102189369
pulicaria	112025969
pulicaria dysenterica	112026125
pulicidae	102189051
pulitzer	111268416
pull	100115251 100626667 100839336 104026090 105164657 111518440 114322572 200071556 200572673 201151176 201353852 201386929 201409713 201450719 201507886 201576107 201612191 201862559 201951106 201999243 202061261 202061423 202107440 202588700
pull a face	200034281
pull a fast one on	202581808
pull ahead	201113439
pull along	201456329
pull at	201612019
pull away	201998474
pull back	200801045 201245862 201451646 201612677 201998474
pull chain	104026481
pull down	201242426 201665698
pull in	201387093 201507886 202019236 202294200
pull in one's horns	200801045
pull off	201595377 201595695 202409609 202528530
pull one's weight	202419402
pull out	201353852 201999243 202019020 202386122
pull out all the stops	201162509
pull over	201845533
pull round	202626004
pull someone's leg	202583671
pull strings	202541995
pull the leg of	200852780
pull the plug	202515886
pull the wool over someone's eyes	200840873
pull through	202557529 202626004
pull together	201383303
pull up	201353852 201867144 201867396 201986700
pull up short	201865216
pull up stakes	202388582
pull wires	202541995
pull-in	104027011
pull-off	104027138
pull-through	104027558
pull-up	100630837 104027011
pullback	100057508 104026275
puller	110511787 110512032
pullet	101795890 107661078
pulley	104026692
pulley block	104026692
pulley-block	104026692
pulling	100115251
pulling out	100850689
pullman	104027306
pullman car	104027306
pullman porter	110474871
pullorum disease	114298579
pullout	100058126
pullover	104027422
pullulate	200056303 200247816 200357986 202032212 202720849
pullulate with	202721798
pullulation	113565171 113565276
pulmonary	302946452
pulmonary anthrax	114096416
pulmonary artery	105361367
pulmonary circulation	111459542
pulmonary congestion	114344670
pulmonary embolism	114125283
pulmonary emphysema	114170862
pulmonary plexis	105516054
pulmonary reserve	113782081
pulmonary stenosis	114130399
pulmonary trunk	105361574
pulmonary tuberculosis	114167546
pulmonary valve	105402050
pulmonary vein	105385577
pulmonata	101954803
pulmonic	302946452
pulmonic plague	114163143
pulp	105316475 106608811 109423701 113116794 114818588 200332523 201354976
pulp cavity	105290825
pulp magazine	106608811
pulpiness	104946375
pulpit	103164306
pulpwood	115124964
pulpy	302587356
pulque	107921858
pulsar	109423862
pulsate	201626064 201883244 201883572
pulsatilla	111757785
pulsatilla occidentalis	111758532
pulsatilla patens	111758221
pulsatilla vulgaris	111758672
pulsation	107415506 107435591 111549746
pulse	107415506 107435591 107724791 115305913 201626064 201883244 201883770
